Area_Name,Date,,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Karnataka,4/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,93,1040,3597
Kerala,4/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,440,1070
Lakshadweep,4/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1
Madhya Pradesh,4/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1266,4291
Maharashtra,4/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,597,2116,7078
Manipur,4/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,107
Meghalaya,4/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,41
Mizoram,4/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,29,31
Nagaland,4/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,46,197
Odisha,4/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94,248,752
Puducherry,4/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,63,63,284
Punjab,4/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,206,327,818
Rajasthan,4/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,37,820,4482
Tamil Nadu,4/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1107,3013,4317
Tripura,4/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,6,52
Uttar Pradesh,4/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21,920,3376
Uttarakhand,4/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,83,269
West Bengal,4/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,29,374,2049
Andaman & Nicobar Islands,4/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,8
Andhra Pradesh,4/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254,1705,3857
Arunachal Pradesh,4/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,31,75
Assam,4/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,84,551
Bihar,4/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,257,1829
Chandigarh,5/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,112,364
Chhattisgarh,5/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,416,1131
Dadra & Nagar Haveli,5/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,15
Daman & Diu,5/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,4,10
Delhi,5/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,125,871,4342
Goa,5/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,38,112
Gujarat,5/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,456,1798,6075
Haryana,5/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1013,2420
Himachal Pradesh,5/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6,42,82
Jammu & Kashmir,5/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9,76,313
Jharkhand,5/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,57,597
Karnataka,5/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,113,1146,4578
Kerala,5/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,497,1233
Madhya Pradesh,5/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,160,1527,5481
Maharashtra,5/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,323,2832,8748
Manipur,5/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,106
